,194,198,200,201,203,205,208,213,219,222,227,234,243,244,246,441,450,1093,1095,1097,1102,1104,1105,1109,1111,1112,1113,1115,1118,1127
X93,nn,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X94,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X95,nn,nn,np,nn,nn,--,nn,np,nn,nn,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,np,nn,nn,nn
X96,nn,np,nn,nn,nn,--,nn,nn,nn,nn,nn,np,np,np,np,kk,hh,hk,hk,hh,--,nn,kk,np,--,--,nn,nn,--,nn
X97,nn,nn,np,np,np,nn,np,nn,np,nn,nn,np,np,np,np,hh,kk,hk,hk,hk,hk,nn,hk,np,np,np,np,nn,nn,nn
X98,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,nn,hk,hk,hh,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X99,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,np,nn,nn,nn,nn,nn
X100,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,kk,hh,kk,kk,kk,kk,nn,kk,nn,np,nn,nn,nn,nn,nn
X101,np,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,np,nn,nn,nn,nn,nn,nn
X102,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X103,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X104,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,np,hh,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X105,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,nn
X106,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,np,np,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,nn,np,np,nn,nn
X107,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,kk,hk,hk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X108,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X109,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X110,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,kk,kk,kk,kk,nn,kk,np,nn,nn,nn,nn,np,nn
X111,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X112,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X113,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X114,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X115,np,np,nn,nn,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hh,hh,hh,hh,np,hk,np,nn,nn,nn,nn,nn,nn
X116,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X117,np,np,nn,nn,np,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X118,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X119,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,np
X120,nn,nn,np,np,np,nn,nn,np,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X121,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,hk,hh,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X122,np,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X123,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X124,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X125,nn,nn,np,np,np,nn,nn,np,nn,np,np,nn,nn,nn,nn,hh,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X126,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X127,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X128,nn,nn,np,np,np,nn,np,np,np,nn,nn,np,np,np,np,kk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X129,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X130,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X131,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,np,np,hh,kk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X132,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,nn,hh,kk,hk,hk,hk,hh,nn,hk,nn,np,np,np,np,np,np
X133,nn,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X134,nn,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X135,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,nn,nn,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X136,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X137,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X138,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X139,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X140,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,np,np,np,np,np,np
X141,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,np
X142,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X143,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,np
X144,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,np,hk,np,nn,nn,np,nn,nn,nn
X145,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X146,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X147,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X148,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X149,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X150,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,np
X151,nn,nn,np,np,np,nn,np,np,nn,np,--,nn,nn,nn,nn,hk,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X152,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,--,nn,np,np,kk,hh,hh,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X153,nn,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X154,np,np,nn,nn,--,np,nn,nn,np,nn,nn,nn,np,np,np,hk,hk,hh,hh,hh,hh,np,hk,np,nn,nn,nn,nn,nn,nn
X155,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X156,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X157,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X158,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X159,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,np
X160,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X161,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X162,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X163,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hh,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X164,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,np,np
X165,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X166,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X167,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X168,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X169,nn,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
